label,review
0,感觉不是很好吃，有点亏，
0,饭的口感还可以，送餐速度太慢，离的远可以理解，少送了果汁，之后处理好了。服务态度还可以，都不容易，总体好评吧
0,以后送饭的能不能到了再打电话？特么每次接到电话下去得等5分钟以上是什么意思？
1,还是黄家好吃，及第不喜欢。不过还是不错
0,还是迟到，晚了30分钟
0,订餐时间是中午1点，等了一个多小时才送到，打开一看量少的惊人，炸薯条成了粉条，软绵绵的，拌饭里的蔬菜跟剩了几天的菜一样，黑乎乎的，炸鸡更难吃，价格一点不便宜，还做的这么难吃，第一次定也是最后一次！这里不能放图片很可惜！
0,"感觉非常不实惠。,拌饭里面的各色菜只有一点点点儿，豆芽可以用几根来数。,只能吃到辣椒酱的味道，吃过正一味多次，口味最差的一次。,一听装可口可乐就是“7元饮料”。,如果不是这次送餐很快，真想给你一星或负星。"
1,外卖小哥速度很快，态度好，东西也好吃，赞
0,菜品说实话很一般，比正一味差远了，送餐师傅很快，态度也好，天气很热辛苦了
0,"饼是馊的,肉是臭的,还能在恶心点吗？,在百度订餐,头一次碰到这样的"
0,菜也太少太少了吧，感觉跟别人吃剩了扒拉给我的一样
0,送饭速度太慢
0,味道很一般，看着盒子挺大，实际上菜没有多少。
0,"我真的是特么的服了这个送餐速度了,2个小时,我特么,催了1个多小时,东西还真挺特么好吃的,就是太特么慢了,以后大伙们想吃就去店里吧,定了肯定耽误事儿,今天我特么就认了"
1,送的超快！！
0,时间太长，打了个客服电话商家才确认订单。
0,难喝，再也不会买了
1,味道不错啊！
0,没有满减！
0,为什么没有辣椒
1,还不错，绿茶还是个人喝不惯。。。奶茶给赞
1,煎饼很好吃，但焖面太难吃
0,"跟着家点了无数回了,这次点了个酱肘子千层饼,里面除了葱就是辣椒,问卖家,说一直就这样,一份卖18,你们家葱还真是贵的可以,太坑爹了,再也不会吃了"
0,很难吃，吃完胃疼
1,服务很好！还送了吸吸冻！哈哈
0,等了一个半小时，皮蛋瘦肉粥太失望了，卷饼味道一般。
0,一个多小时送到，面他妈都坨了，
0,11:10分定的，快1点才送到晚了差不多1个小时，菜饭凉了
0,很一般，卷饼是死面的，较厚，吃不惯
1,凉面味道确实不错，豆浆好喝。速度快。
1,骑着毛驴来送餐的，神一样的速度！！！！
0,"要了两份米饭，只给了一盒。,一份菜是侧着放的，菜汤流了一桌子。"
0,"一直都点你家饺子,觉得味道很好，但是今天居然给我送错馅儿,我要吃茴香鸡蛋茴香鸡蛋，我点了两份茴香鸡蛋，你给我送两份素什锦干嘛！！！"
0,太慢了，两个小时
0,我的订单是两杯热的，其中一杯给的冰的，还放了很多冰块，不能喝凉的！！
0,"太长时间了,还说饮料没了下次给,也没给"
0,"饭店给下错单了,少送了2份,并且态度非常不好,配送员态度非常好,希望改善一下饭店的服务态度"
0,没以前好吃了，还跟乌龟一样慢死了
1,粥木有勺子
0,"送餐速度太慢了,用了快2个小时才送到。每次都这样，没法用"
0,几乎没有南瓜
0,梅菜一般，肉还行。配菜凉拌黄瓜还行～
0,为什么不是百度外卖配送？
0,"你家这也叫米线？太特么难吃了，还给我清汤的，没辣椒没麻油的，真是再也不想定第二次了，难吃的一B,."
0,鳕鱼口感太老了，总体好，性价比好！百度外卖+丽华快餐好！
0,送餐时间有点长
0,烤串有些走油，紫菜卷和秋葵卷有些腻，应该配点刷的酱。
0,非常慢，非常难吃
1,"送餐的速度超快,传统地道冒血旺味道正宗,吃的过瘾"
0,非常非常慢
0,我点的餐虽然时间慢了些！快递员给打电话了，但是居然还送错了！哎！都不容易！
1,做得很不错，味道，也很好，要的鸡腿卷饼，要是鸡腿能把鸡皮去掉就更好了。
1,速度很快，服务好，稻香村食品也特别好吃。
1,送餐小哥特别好，饭也不错
0,"非常差,味道差,服务差,打电话过去服务员素质太低,没办法,素质一天教育不出来"
1,好快！配送员特别好～还送了果冻哟
0,差评！没见过比这更慢得外卖，差评！而且还难吃。！
0,快递是卡着点来的，还有5分钟就半价了，我也是醉了
0,越来越难吃了，不会再吃了
1,终于吃到闻名已久的站点披萨～味道很好～
1,送餐很快，量足，很好吃，方便，个别菜不是很热，联系送餐时再现做。
0,送餐不送筷子，不送纸巾，醋包居然不是食品用的包装，是简陋的自封袋，全洒了，送餐时间比网络显示晚了40分钟。
0,不要辣椒，为什么有呢，不是辣，是不能吃好不好！
0,"洒了好多,手提袋上也洒的都是"
1,配送很快，态度很好，五星好评
1,味道不错，饺子馅大皮薄，一份饺子足够一人午餐量了，特别赞他家的饺子送餐盒，超棒，避免饺子粘一块，强烈赞一个！送碗饺汤更美！
1,第一次，感觉不错，孩子爱吃。
0,难吃，还贵，明明在线支付了25元，饭到了，单子上却显示支付了18.85元！这是怎么回事？
1,味道很好吃，配送也很及时，服务态度很好
1,口味很不错
0,配送又慢，而且永远都送错地方，看不懂中国字！
1,煎饼不脆了，凉面和煎饼放一起了变热的了
0,点了两份腊八蒜，一份也没有，给换成一袋醋
0,"味道只能说还行,味精太多,没啥配菜"
1,热乎乎的，谢谢，送餐员辛苦了，速度很快，谢谢
1,南瓜粥里南瓜挺多的，凉拌木耳稍微有点大火，土豆尖椒卷饼土豆丝多尖椒太少，面皮稍有点夹生，不过味道还不错，吃一个中号卷饼半份粥一份小菜很饱，不错
1,好好好！！！
1,就是送餐很难，着急的童鞋慎重
0,"送餐小哥忙死了,说接了30多个单,破商家没能力做就别接单,订单下了很久才做,1个多小时才到,以后不会再点这家的,垃圾,太垃圾"
0,不好吃，饼太死
0,味道还不错，包装也不错，套餐有皮蛋瘦肉粥和老醋花生，但是送餐时间实在是有点不能忍。。。望改进
0,"很无语,饭送的很快,就是送来的时候发现饮料不是密封装,全都洒了,变成了汤泡饭。打电话店长说只能换饮料,后来终于同意换一份新的餐,但是！新的送来的时候都凉了,怀疑是不是之前的那份。。。。。然后油很大。。。就是这样！"
1,还好吧，披萨不会再要这个了，可以试试其它的
0,一个小时才送到。醉了
1,送来的很快
0,我的番茄酱呢！
1,挺好吃的，就是慢了点，煎饼不脆了
0,送餐慢，汤里的粉条根本没给放
1,第一次使用百度外卖，感觉真方便，送餐速度很快，味道也很好！
0,垃圾中的战斗机，几天之内定了三次餐，两次都超过一个半小时，打电话好多次才联系上，然后说订的餐没做或者找不到了。什么垃圾，接不了业务就别做这活，动不动让老子快两点才能吃上中午饭，坑爹呢。
0,"感觉还可以吧,味道一般"
1,必须给快递小哥点个赞
0,菜真的很一般，还是店里吃好些
1,"还冒着热气呢,肉末茄子超级棒,尖椒豆皮就不咋好吃啦,不过整体还是不错的"
0,鲫鱼汤鱼不新鲜！总体来说还可以吧！
0,这是石板烤牛肉，还是tm的石板烤粉丝？还不地拌饭的量大！失望至极！
0,"能让我写评价的店也就你黄太吉了,上次一次点的时候,都付款了还给我取消了,也没有电话告诉我,这次第二次点,心想好歹尝一次,就在家门口对面,走路过来也就七八分钟以内,结果等了一个多小时不说,东西的味道我也是不想多说了,我真不是个挑食的人,再也不会叫了"
1,一如既往的干净好吃。
0,味道有点淡，不过服务很好。
0,配送时间太不准了！做的菜我也不做评价了！
0,足足3个小时才送到！
1,时间准。不错。儿子很喜欢。
0,头一次用百度外卖，晚了近一个小时。
1,味道很好~
1,好吃量大吃不完
0,锡纸包装不错，但是两个多小时送到的卷饼湿糊糊黏牙，如果是现做的可能会好吃些
0,距离很近，但是饭送过来是冰凉的
0,这次我也要勺子了，也没有给勺子。
1,送餐很快，菜也好吃，值得推荐，就是量在大点就好了(づ｡◕‿‿◕｡)づ
0,快递很好。穿心莲一半都是坏的！一半绿，一半是烂菜叶子的黄色，没法吃！再也不在这里定外卖了！伤心！
0,面送过来都变成饼，兔腿又做越小。
1,送餐很及时
0,写的水煮牛肉，根本不像牛肉
0,送的好慢，说是店家少做了一份。。
0,速度太慢，超出预定时间2小时才送到
0,忘了放辣椒了，味道一般，南瓜饼还不错
0,送外卖的态度差
0,100分钟才到...其他的就不多说了
0,点烤鸭居然没有鸭饼和甜面酱，而且也没说明。真是醉了
0,实在是太慢了，等了一个半小时。菜都凉了，锅包肉凉了还能吃吗？
1,又快又好棒呆了哈哈哈哈哈哈哈
0,没吃出什么味道。饿死了。迟到1个多小时。
0,严重超时。十二点46才收到。
0,"出菜慢，92分钟才送达,菜的味道实在太一般了"
1,"速度挺快的,赞一下"
1,不好意思，评论晚了。。。。
0,餐还没有到，到底给不给送了
0,大盘鸡又不是没吃过，叫的外卖差太多了吧，量少青菜少，太能糊弄了
0,太慢啦！实在难以忍受
0,简直了！！特别慢！！一个半小时才到！
0,除了米线果然都一般。。
0,差一分盐酥鸡
0,赠送的黄飞红花生呢？没送啊！！
0,送错了。我点的是韭菜鸡蛋，送来的是白菜鸡蛋？还没有醋。
0,汤洒了一塑料袋。。。回锅肉味道一般
0,口味很一般，我说不要辣店家竟然把青椒给抽掉了，然后整个一个土豆丝饼，而且还咸。。。粥太稠了，都没有什么味道，有待改进
0,凉面醋放得太多了，酸掉牙。厨师的水平真的是够了
1,薯条很大很好吃！送餐快！
0,量大，味道差
1,非常美味！！！！
0,用的是地沟油做的东西，越吃越恶心，在去订的就是个傻B
1,送餐快，包装安全放心，味道好。
0,没有想的那么好吃～～～
0,距离饭店就200米的路程，点了个外卖，晚到40分钟。
1,喜欢这个味
0,送餐员极其粗鲁，没礼貌，差评
